Run,Open (µs),Write (µs),Read (µs),Close (µs)
179,1297.4,328.9,39.9,358
180,2333.9,494.4,60.2,301.6
181,3076.9,364.5,39.3,1334.1
182,1508.4,254.9,33.3,190.6
183,1956.3,335.4,37.3,394.1
184,1594.8,330,32,171.6
185,2213.6,527.4,47.3,551
186,1297.2,225.2,28.1,486.9
187,2451,357.4,40.6,438.2
188,1444.6,300.4,38.3,257.1
189,1588.6,326.6,45.4,284.4
190,1515.9,512.3,88.3,275.7
191,1149.8,769.1,127.3,185.9
192,1410.2,290.5,36.9,216.8
193,1234.8,232.8,25.4,157
194,1161.2,398.7,36.1,291.9
195,1754.7,240.4,26.9,318.5
196,1176.6,325.8,37,251.2
197,1352.5,310.7,38.2,239.9
198,1062.5,279,37.2,346.7
199,1751.6,254.9,22.3,147.2
200,1798.8,321.9,38.7,451.4
201,1696.7,496,46.7,284.5
202,1370.2,252.4,33.2,259.4
203,1199.3,283.2,36.8,264.2
204,1213.7,346.6,37.8,257.5
205,1165.9,374.6,47.3,190.7
206,1642.1,433.1,43,264.8
207,683.2,247.5,46,192.8
208,1362.4,319.8,37.1,173.6
209,1065.6,301.4,36.4,246.3
210,1321.7,288.1,37.1,285
211,876.1,204.6,27.2,155.7
212,655.9,207.4,21.8,347.1
213,1444.7,673.8,135.3,262.4
214,893.9,369,23.9,157.2
215,1037.3,297.6,35.6,408.1
216,1581.9,338,35.9,272.7
217,1499.1,371.7,45,244.9
218,1073.7,379.8,41.8,228.4
219,1277.6,339.2,38.8,205.1
220,1869.6,309.2,35.8,224.2
221,1118.1,267.8,34.9,216.7
222,1612.8,281.5,34.5,223.1
223,1335.1,303.6,31.7,223.5
224,1376,244.6,33.3,220.9
225,1434.1,354.8,38.4,433.5
226,1322.7,332.8,37.3,228.2
227,1553.3,267.8,34.6,212.5
228,1303.1,276.5,33.4,205.2
229,989.8,275.4,35.4,244.9
230,1167.2,259.3,31.2,286.2
231,1221.2,216.9,76.7,155.1
232,722.8,215.9,23.2,151.3
233,958.1,189.2,24.6,151.1
234,592,157.7,21.4,195.4
235,731.3,281.3,35.3,257.1
236,1019.3,266,37.7,209.9
237,1444,568.5,38,258.6
238,1449.6,307,36.4,232.6
239,1342.7,214.4,27.4,388.3
240,1119.1,367.2,44.8,262.9
241,1459.3,282.5,33.7,212.9
242,1076,407.5,49.9,286.5
243,1286.9,264.4,32.4,177.3
244,1354.5,244.3,27.4,165.6
245,1396.2,560,105.8,221.9
246,1388,365.5,48.5,220
247,934,253.1,34.3,235.7
248,1301.8,267.6,33.2,376.4
249,1066.9,272.9,34.1,340.3
250,1646.6,312.2,37.4,409.9
251,1511.9,316.1,37.7,236.6
252,1029.8,316.4,37,242.6
253,1426.1,342.9,41.7,314.3
254,1239.1,297.9,36.4,247.5
255,1434.5,339.5,94,304.9
256,1235.4,387.1,48.8,302.6
257,702.3,340.5,45.8,278.7
258,1424,331,40,347.8
259,1002,288.2,38.9,232.4
260,1068.7,307.2,33.8,234.4
261,1314.8,292.1,34.1,222.6
262,1276.1,326,37.7,251.7
263,1226.2,306.3,127.1,238.9
264,1297.2,322.2,39.9,341.8
265,1218,439.7,48.4,279.3
266,963.8,351.6,37.6,240.1
267,1047.9,491.3,40.7,240.5
268,1120.2,418,65.4,300.9
269,1078.6,305.3,37.9,227.7
270,1580.5,285.6,36.2,235.2
271,918.4,181.2,19,116.2
272,1036.9,291.5,33.7,220.3
273,987.8,358.3,34.9,221.4
274,1480.1,337.8,36.5,262.3
275,1212.3,301.2,38.8,540.8
276,1183.5,286,35,216.8
277,1800.1,320.3,36.7,221.7
278,1231.1,281.4,38.7,314.3
279,1328.8,293.9,41.7,172.4
280,1437.8,476.8,129.9,284
281,725.1,204.9,24.1,432
282,1073.4,262.6,149.9,295.3
283,1304.3,315.9,34.7,231
284,1444.4,339.8,37.7,238
285,1281.8,343.8,35.7,239
286,1197.5,433.1,47.5,358.1
287,1242.1,331.8,37.8,382.5
288,952.4,347.5,36.3,423.8
289,1296.4,263.9,35.3,222.1
290,1223,322.5,35.1,216.9
291,22750.4,697.9,33.4,305.3
292,1160.1,209.6,25.9,149.8
293,1845.8,308.2,218,177.5
294,2521.3,228,27.4,165.2
295,978.7,251.8,173,865.9
296,1356.1,773.8,39,1437.9
297,1137.8,232,26.7,171.7
298,1012.3,1044.4,30.9,285.1
299,9479.5,347.4,102.1,199.5
300,6481.1,265.1,30.8,175.9
301,1166.7,487.3,36.6,9960.3
302,921.7,248.3,24.9,142
303,544.4,179.3,23.6,113.4
304,820.9,231.5,32.5,151.2
305,697.9,200.7,24.2,128.2
306,2050.6,225.9,31.1,764
307,6212.3,555.6,34.3,722.4
308,1518.6,305.2,29.8,147.6
309,858.3,314.8,25.4,224.7
310,867.8,384.7,81.6,253.6
311,1034,252.4,79.7,159.2
312,2047.6,333.2,29.6,138.8
313,850.2,209.5,31.3,248.5
314,591.3,203.3,28,208.8
315,655.9,177.2,24.1,118.5
316,890.9,1341,127.2,411.5
317,891,266,28.5,190.2
318,2251.3,382,141.5,224.2
319,854.1,183.8,22.9,108.7
320,1131.7,240.4,27.5,159.6
321,1108.2,326.9,90.7,441.6
322,1491.4,368.8,68.8,329.5
323,1281,204.5,27.9,132.8
324,2828.4,1856.4,104.4,5457.6
325,6438.5,374,29.8,160.9
326,779.1,171.6,23.1,144.3
327,820.6,412.8,25,108.2
328,762.7,189.4,25.4,220
329,1764.1,352.6,77.3,189.2
330,955.4,229.3,77.3,148.3
331,922.6,208.5,29.2,149.5
332,1953.8,238.5,31.2,151.1
333,761,274.9,61.4,142.9
334,631.6,383.4,29.1,163.7
335,1381.1,258.4,28.9,175.1
336,846.9,244.9,28.4,197.1
337,1720.9,310.4,35.3,242.6
338,1533.9,313.7,38.5,266.9
339,1540.4,388.6,48.7,274.9
340,1581.8,319.4,39.4,318.2
341,1084.4,185.1,23.4,256.9
342,986.6,219,24.5,143.9
343,653.2,180,24.3,143.4
344,1515.4,317,35.3,413.3
345,1424.7,460.2,40,673.6
346,1337.6,318.4,39.6,330
347,1983.4,972.2,74.8,279.7
348,2150.8,274.4,32.8,209.5
349,2783.3,597.7,50.8,396.2
350,1156.2,345,38.9,395.4
351,1259.4,266.3,35.3,225.9
352,1213,250.9,32.3,276.9
353,917.4,351.5,74.7,181.2
354,2518.7,212.8,28.6,219.9
355,2263.7,245.9,217.7,335.5
356,655.3,195.7,25,126.7
357,966.9,402.4,27.7,190.8
358,759.3,225.8,24.7,179.4
359,969,204.1,27.1,120.9
360,939,254.3,26,208.5
361,713.5,236.6,26.6,159.9
362,1100.7,305.7,148.9,252.2
363,1177.8,337.1,35.3,250.6
364,1308.2,283.3,37.8,364.8
365,1125.7,278.9,34.8,235
366,1219.9,297.6,36.1,169.2
367,1157.7,271.3,25.7,175.3
368,1230.6,306.8,35.8,251
369,1027.9,331.2,36.7,262.2
370,988.2,270.3,36.1,322.6
371,975.5,255.7,32.3,299.9
372,1506.3,255.2,39.8,211.7
373,874.6,148.7,26.5,455.5
374,1021.4,332.2,46.7,448.8
375,1206.8,337.6,36.6,321.4
376,1171.6,300.2,35.6,340.6
377,1022.7,402,47.2,254.2
378,1250.5,290.7,37.2,233.5
379,1055.7,346.8,37.3,266.1
380,1404.3,416.8,41.9,249.5
381,878.6,287.2,37.9,307.4
382,967.1,408.3,39.2,378.4
383,1436.8,401.4,39.1,296
384,1237.5,290.5,36.2,513.9
385,1482.5,368.6,40.4,353.6
386,732,315,37.5,297.9
387,1172.3,260.9,32.8,199.5
388,1277.4,277.5,33.5,267.2
389,1150.7,443.4,35.3,239.8
390,1230.9,329.2,35,238.4
391,1092.4,194.2,23.2,394.8
392,1354.4,342.3,41,257.8
393,1317.9,290.5,35.8,239.4
394,1638.3,300,33.5,214.6
395,1298.7,252.8,34.1,213.6
396,989.6,312.9,39,228.3
397,999.7,294.5,39.3,262.6
398,1026.9,417.5,56.9,298.4
399,1725.5,277.4,42.3,246.5
400,1306.2,339.6,36,232.4
