Run,Open (µs),Write (µs),Read (µs),Close (µs)
174,1064.200,138.900,116.800,253.100
175,1208.500,349.700,34.700,253.100
176,407.500,125.200,14.400,428.300
177,754.400,129.200,65.900,108.500
178,492.300,280.700,105.300,218.500
179,1345.600,301.700,69.200,134.400
180,517.800,132.900,13.500,98.600
181,882.200,195.800,39.700,95.500
182,379.800,102.100,12.600,82.500
183,567.100,149.300,12.400,568.400
184,757.900,139.000,16.900,387.400
185,673.500,119.900,13.800,100.000
186,1436.300,411.900,35.600,215.900
187,957.000,134.100,14.600,107.300
188,387.600,220.300,41.000,406.000
189,459.400,291.500,42.300,256.100
190,579.000,129.900,14.100,71.700
191,863.900,281.500,27.900,348.600
192,417.800,132.400,14.700,98.500
193,883.500,155.700,14.000,103.500
194,818.000,139.200,14.900,71.800
195,642.500,303.600,157.600,252.000
196,630.500,164.200,15.000,101.500
197,427.000,121.700,13.300,193.900
198,606.200,219.700,163.400,143.200
199,831.600,123.400,15.000,96.600
200,1674.100,165.800,16.400,101.200
201,435.500,344.700,123.500,110.900
202,600.800,118.200,13.900,164.400
203,468.200,116.600,14.400,133.800
204,386.600,122.400,14.000,223.100
205,594.900,302.200,28.800,235.000
206,727.800,125.100,13.800,76.600
207,1009.300,275.100,213.200,310.100
208,804.300,189.300,14.700,106.100
209,670.600,115.300,14.000,91.900
210,518.400,108.800,13.200,109.300
211,781.400,298.300,84.600,307.400
212,384.900,118.100,13.900,222.600
213,508.500,122.600,13.400,92.300
214,388.100,116.200,224.800,456.900
215,712.200,122.100,14.400,154.600
216,362.600,127.800,12.800,269.600
217,418.800,427.400,132.600,140.300
218,936.900,561.100,73.000,255.400
219,415.400,122.000,15.000,87.800
220,1098.600,157.700,14.600,110.100
221,422.500,340.100,146.500,114.500
222,442.000,110.700,13.200,106.700
223,1357.700,295.600,17.400,121.100
224,1238.700,324.500,15.400,108.900
225,1174.600,325.200,141.500,103.800
226,609.300,130.100,14.900,98.800
227,584.800,252.700,112.800,115.500
228,7616.800,295.500,83.900,465.400
229,1783.200,180.600,13.500,401.100
230,434.600,263.500,14.600,138.900
231,613.500,454.900,187.000,117.200
232,1354.100,232.000,118.500,115.800
233,895.500,115.800,14.000,96.100
234,644.000,127.800,12.800,93.800
235,356.600,93.400,12.100,147.000
236,1276.500,148.200,14.300,172.600
237,1272.800,121.000,12.900,156.500
238,1262.800,119.300,13.400,174.000
239,450.100,272.900,120.600,102.200
240,778.300,114.500,13.000,408.800
241,1343.400,377.500,114.900,245.700
242,525.200,133.700,14.200,111.400
243,893.100,130.300,14.600,100.300
244,406.700,121.100,13.200,94.900
245,600.700,143.400,13.800,104.700
246,678.000,233.400,15.000,107.500
247,583.300,148.600,15.100,120.200
248,990.100,116.700,13.300,121.500
249,458.900,105.200,13.400,80.100
250,812.900,124.200,14.700,173.300
251,1284.100,124.400,15.300,99.300
252,1176.700,201.500,133.000,161.400
253,830.600,440.500,181.700,341.200
254,521.500,125.900,14.700,103.600
255,348.000,230.900,14.300,103.500
256,352.800,109.400,12.200,66.900
257,464.200,319.600,116.900,99.800
258,812.800,263.700,26.800,261.200
259,1075.000,435.700,34.200,249.100
260,747.700,148.900,15.600,134.500
261,783.900,136.400,14.200,316.100
262,461.000,121.400,13.700,105.300
263,379.900,112.400,13.700,72.300
264,978.600,131.300,14.100,98.400
265,1160.200,267.300,16.100,80.000
266,449.600,129.300,13.000,245.400
267,465.900,144.900,13.700,90.600
268,350.000,123.500,12.500,136.000
269,887.900,324.600,179.900,229.100
270,998.200,217.400,16.000,109.200
271,420.200,332.900,120.900,107.700
272,1284.400,368.000,139.200,117.000
273,492.900,202.300,14.300,100.000
274,1021.400,118.200,12.600,94.200
275,860.800,108.000,11.900,205.500
276,702.100,125.300,13.300,94.300
277,417.100,114.200,13.000,209.300
278,1042.700,111.300,13.500,97.000
279,425.000,139.900,14.000,131.400
280,977.100,190.300,85.900,269.400
281,750.700,154.300,14.200,138.600
282,878.600,348.800,102.900,286.500
283,456.400,129.900,14.000,161.200
284,921.800,616.300,18.500,196.000
285,439.100,145.600,13.900,154.800
286,349.200,116.400,12.800,138.700
287,741.100,122.200,125.000,94.900
288,436.600,110.700,12.300,89.400
289,304.800,231.800,17.700,82.000
290,1584.100,319.700,120.600,106.800
291,1037.700,184.800,15.300,101.100
292,1176.400,321.500,126.300,235.200
293,1034.000,130.800,14.700,101.100
294,814.500,321.700,128.700,116.700
295,515.800,113.700,13.600,92.200
296,888.500,130.500,15.300,179.200
297,476.200,211.800,96.200,107.300
