Run,Open (µs),Write (µs),Read (µs),Close (µs)
170,1055.600,246.500,29.300,320.800
171,1118.400,254.300,29.900,244.200
172,1225.900,453.400,32.300,262.500
173,1057.100,382.600,28.300,247.400
174,933.400,280.900,31.600,287.900
175,1489.800,292.600,29.500,210.900
176,1203.400,321.600,31.300,305.200
177,919.100,357.000,149.300,267.400
178,1103.900,395.500,31.000,206.700
179,1470.800,329.100,32.000,278.200
180,1189.800,430.400,112.000,225.900
181,1023.600,289.000,33.400,392.600
182,983.100,312.200,29.900,206.100
183,1137.500,358.700,38.700,356.700
184,1525.800,295.400,118.600,248.100
185,1519.700,299.000,28.500,200.100
186,933.200,362.100,206.900,284.000
187,893.400,496.200,30.400,221.500
188,1282.500,295.900,31.700,221.500
189,1337.700,459.100,25.900,189.000
190,1187.000,389.000,30.800,275.200
191,947.800,261.100,32.600,152.900
192,1528.700,380.200,32.900,215.100
193,1700.200,428.100,37.000,249.800
194,1332.200,296.000,30.800,217.300
195,640.800,350.500,32.700,290.200
196,1151.100,264.900,31.400,378.100
197,1029.900,233.000,25.300,169.000
198,760.100,164.900,21.700,132.500
199,580.000,240.000,60.000,157.700
200,696.000,287.200,32.600,227.300
201,678.600,264.600,94.100,187.500
202,612.400,320.700,30.600,213.300
203,1175.300,255.500,68.000,158.100
204,1162.700,281.500,26.600,192.400
205,812.300,166.200,18.400,132.400
206,654.100,311.800,28.300,214.800
207,1090.700,288.900,31.700,230.400
208,1046.300,224.500,19.700,133.800
209,776.700,221.900,15.800,110.700
210,667.900,395.600,29.800,207.600
211,1005.300,314.200,30.600,227.200
212,1095.500,287.000,29.400,251.200
213,868.400,243.000,27.600,213.400
214,1154.600,248.500,28.500,213.600
215,954.000,371.200,31.200,214.500
216,1011.200,373.400,32.600,755.900
217,1738.900,420.500,35.200,277.200
218,1401.400,266.400,27.200,198.300
219,1331.500,261.900,30.800,230.300
220,1097.400,276.000,30.000,247.900
221,937.900,234.700,27.700,202.500
222,1039.600,316.800,108.700,164.700
223,1333.500,228.500,23.400,337.500
224,1110.000,290.200,29.900,213.300
225,889.300,355.800,26.400,399.100
226,1528.200,310.900,32.500,249.000
227,1052.400,268.900,35.000,241.400
228,2441.000,370.700,200.800,337.700
229,1270.900,288.200,32.400,160.700
230,1220.000,312.400,31.500,219.600
231,939.300,320.200,33.500,219.100
232,1028.600,273.200,29.600,225.800
233,967.000,368.300,31.800,233.300
234,1700.800,713.200,94.000,338.500
235,1025.700,384.100,35.300,249.700
236,1088.100,464.000,39.200,248.300
237,1407.200,307.700,30.300,228.800
238,1365.600,325.100,31.500,250.500
239,1489.100,219.000,20.900,152.900
240,1300.600,548.800,41.100,257.100
241,1518.800,383.700,31.700,228.900
242,1444.300,287.400,30.400,212.800
243,1121.900,380.600,35.000,269.200
244,1406.400,267.100,29.700,219.700
245,1664.400,332.600,113.200,241.500
246,916.200,304.000,31.500,152.700
247,1229.200,192.500,23.300,140.600
248,1152.000,357.500,31.500,237.600
249,1172.800,331.000,56.500,250.800
250,1161.000,295.400,31.900,220.300
251,1615.800,468.900,34.600,338.100
252,1985.800,558.200,26.000,282.900
253,1070.700,241.000,21.400,245.000
254,1313.600,245.500,23.900,177.000
255,1757.800,317.700,30.900,203.000
256,1655.300,228.000,39.200,316.300
257,4967.400,1489.200,32.900,175.600
258,2480.000,508.000,74.400,1052.000
259,3611.200,258.700,230.200,191.000
260,2704.400,269.200,25.800,147.600
261,792.800,172.900,185.300,136.300
262,1537.000,229.800,68.900,157.900
263,822.400,319.300,24.100,269.300
264,937.800,190.300,21.900,234.000
265,1088.600,174.000,20.500,121.800
266,5590.700,194.100,24.300,551.200
267,1001.800,213.900,22.300,104.700
268,1023.800,1681.500,29.400,174.200
269,1122.200,2104.300,25.900,150.500
270,562.500,390.200,1340.000,197.000
271,641.300,202.500,23.400,124.600
272,753.800,202.600,31.900,138.200
273,940.400,245.900,62.000,665.200
274,2102.200,426.000,164.500,291.500
275,1757.800,298.800,32.900,206.000
276,1023.100,190.600,22.900,165.800
277,530.200,373.100,61.800,126.100
278,711.700,267.300,19.100,190.100
279,703.700,221.600,21.200,116.600
280,692.900,273.600,60.000,119.700
281,1121.600,182.000,22.300,128.000
282,831.500,311.900,72.100,133.000
283,543.900,192.200,75.500,158.300
284,574.100,263.900,50.300,112.900
285,505.400,145.900,19.100,123.200
286,697.700,167.100,19.400,270.600
287,622.800,154.600,20.400,243.600
288,463.200,218.000,69.600,144.700
289,477.000,201.700,70.800,255.300
290,872.200,170.800,24.400,146.300
291,3944.500,234.700,66.800,238.000
292,910.400,230.400,25.200,151.000
293,932.800,218.900,26.100,177.100
294,1324.800,246.500,24.400,212.100
295,716.400,2997.400,47.900,299.500
296,1299.400,273.900,30.600,213.600
297,1036.800,269.300,29.400,218.100
298,1216.200,263.400,31.300,347.100
299,1340.700,353.200,33.600,258.100
300,1291.200,325.200,35.400,225.300
301,1247.700,319.100,96.300,289.000
302,1494.100,318.300,86.900,314.200
303,1306.700,397.100,37.500,323.700
304,1278.600,544.200,51.000,289.700
305,535.300,246.800,45.300,282.000
306,2117.400,339.800,34.000,247.400
307,1053.000,312.700,175.100,258.600
308,1106.900,436.500,34.500,297.300
309,1412.500,413.300,36.000,257.800
310,1509.800,387.500,42.400,254.500
311,1362.000,823.900,24.500,180.300
312,1463.700,250.200,20.100,228.900
313,1269.800,196.700,21.900,140.100
314,1228.500,304.000,32.500,223.200
315,1247.400,391.300,31.100,225.600
316,857.400,416.800,42.400,222.400
317,815.600,224.200,20.900,235.500
318,1140.900,264.700,32.400,452.500
319,1406.500,7668.300,31.100,1614.200
320,1169.800,291.000,32.900,451.400
321,1332.300,264.600,22.800,170.700
322,1861.900,352.900,223.900,351.700
323,851.300,323.500,31.400,228.800
324,1264.800,480.500,87.400,293.800
325,1416.000,340.200,28.900,376.400
326,1040.200,207.400,21.600,175.900
327,2493.700,790.000,182.900,273.100
328,1865.500,559.600,28.200,706.700
329,2337.100,195.300,23.300,194.400
330,1540.500,211.700,21.500,147.800
331,970.500,347.300,83.200,331.900
332,2004.700,391.300,75.300,249.000
333,1714.300,359.200,26.300,146.300
334,1278.100,825.500,44.600,225.300
335,785.900,210.200,23.300,142.800
336,876.700,230.800,86.600,266.400
337,761.800,214.100,22.600,268.600
338,1441.800,322.300,56.700,303.500
339,1078.500,270.500,31.900,243.200
340,1066.300,312.500,32.400,304.300
341,979.900,334.400,25.000,170.000
342,1571.400,451.200,35.200,409.500
343,1120.500,346.200,35.000,233.000
344,1426.000,306.100,30.200,229.400
345,1545.400,280.500,144.600,301.300
346,1181.300,317.300,164.500,242.200
347,1629.600,447.800,85.300,246.500
348,1063.100,348.800,31.200,230.800
349,1322.000,272.800,32.100,255.100
350,1233.100,230.300,23.000,176.400
351,649.200,194.500,22.600,124.100
352,1192.600,424.900,30.600,245.600
353,1604.700,316.500,37.700,268.000
354,1292.700,366.800,43.200,285.100
355,1364.900,558.800,37.100,255.900
356,1675.100,405.700,33.300,235.700
357,1636.500,305.900,31.100,327.200
358,1369.400,358.800,128.600,270.600
359,1211.300,553.000,26.700,248.100
360,1402.300,388.400,33.400,231.900
361,1112.800,268.600,29.700,211.100
362,971.200,473.300,32.600,315.600
363,1302.600,263.800,28.400,280.300
364,1217.600,296.100,31.100,227.200
365,942.800,301.700,31.800,359.100
366,1090.400,464.800,65.700,249.000
367,921.800,271.600,30.700,206.700
368,2013.700,314.200,31.100,217.700
369,1162.300,360.100,28.600,198.900
370,1317.500,287.100,29.900,222.300
371,1518.700,269.500,24.700,165.300
372,854.100,357.000,36.400,240.400
373,1289.700,393.800,33.000,232.900
374,879.700,362.500,29.800,214.700
375,1549.800,264.700,31.100,214.200
376,1196.900,382.800,28.000,205.500
377,1425.700,424.900,30.800,273.500
378,1721.600,421.600,29.100,211.400
379,1641.900,454.200,33.100,235.200
380,1018.300,272.200,31.100,212.900
381,895.900,261.800,27.300,205.900
382,1011.300,259.900,29.000,204.700
383,665.900,185.500,97.600,386.400
384,1650.300,322.300,34.000,243.800
385,1189.500,369.800,35.900,281.000
386,1119.900,235.200,26.800,196.100
387,1499.900,375.300,29.900,227.100
388,1457.300,266.600,25.500,212.700
389,1225.200,471.800,41.500,390.300
390,870.400,214.200,18.600,128.600
391,1150.700,285.200,30.600,208.200
392,1061.200,341.600,31.000,204.400
393,905.700,272.400,105.200,219.900
394,810.900,169.900,143.700,325.100
395,1359.300,354.700,27.500,195.000
396,2046.200,193.500,21.400,145.800
397,1848.800,179.000,83.300,178.800
398,555.900,385.000,30.200,235.300
399,612.600,309.000,20.300,289.700
400,570.100,177.400,64.200,139.800
401,644.400,288.700,37.700,266.000
402,1113.100,320.700,29.400,416.500
403,1028.100,276.400,22.800,147.100
404,754.000,166.800,15.500,109.000
405,826.100,165.600,19.200,120.600
406,704.600,427.600,32.200,273.300
407,739.400,254.900,21.600,134.300
408,779.100,246.100,56.600,131.800
409,558.000,201.800,19.500,169.800
410,460.700,168.100,17.600,119.600
411,1369.700,422.200,38.300,234.500
412,991.500,253.400,29.800,224.300
413,934.000,321.900,23.900,147.800
414,750.600,172.100,19.100,128.800
415,676.200,279.900,19.700,135.500
416,1307.100,333.800,29.100,228.400
417,894.800,279.000,30.000,284.200
418,962.000,350.400,32.400,202.900
419,1428.500,345.400,29.700,364.300
420,793.500,231.100,18.300,378.600
421,1068.300,444.100,28.500,261.900
422,668.000,168.600,20.100,134.800
423,1333.700,275.700,83.500,243.700
424,1360.100,324.500,30.600,445.000
425,1340.000,321.200,32.100,244.100
426,1065.700,292.000,29.700,271.100
427,2809.600,1294.600,86.700,766.100
428,1172.000,348.800,29.000,253.600
429,1382.000,390.200,28.900,228.700
430,1067.300,254.000,26.900,196.200
431,866.100,249.100,28.000,196.300
432,939.500,210.900,20.500,147.500
433,708.800,344.600,38.100,247.200
434,1388.300,376.800,30.900,342.200
435,990.800,140.200,15.600,109.300
436,1117.100,340.100,31.400,263.500
437,1220.700,225.900,26.400,209.800
438,1142.400,268.700,27.700,149.000
439,1045.500,188.600,20.300,144.600
440,1611.400,345.500,32.100,322.700
441,1286.200,337.100,36.000,261.600
442,1192.000,243.700,28.900,192.700
443,942.600,276.000,32.500,202.400
444,1446.400,404.400,35.700,317.600
445,1200.100,253.500,31.200,316.200
446,1299.200,313.400,33.000,246.400
447,1239.400,316.900,34.600,226.300
448,1181.500,165.300,14.600,161.900
449,1233.900,257.100,27.300,353.700
450,1666.000,246.900,28.300,203.100
451,1030.700,356.400,118.600,218.500
452,1022.000,299.400,29.200,358.600
453,1512.800,243.300,29.500,200.600
454,1045.900,253.800,29.100,246.300
455,1128.300,388.900,29.800,236.500
456,1368.400,256.800,28.000,196.300
457,1209.600,246.200,28.500,281.300
458,1165.500,260.900,30.800,223.600
459,1467.400,331.100,83.400,325.300
460,1215.800,269.300,29.000,200.200
461,999.800,311.200,34.400,260.900
462,1081.800,305.000,29.700,291.500
463,1290.800,323.900,31.300,277.000
464,1347.500,254.100,29.500,208.200
465,938.700,324.200,31.700,199.200
466,1032.800,253.400,28.800,201.000
467,927.700,256.700,85.800,295.200
468,1097.800,567.800,32.400,269.000
469,1116.500,312.900,31.900,229.800
470,1210.900,341.300,60.500,233.700
471,1259.400,296.900,28.600,3995.600
472,1265.500,287.800,30.900,421.100
473,1219.000,354.100,32.400,244.400
474,1225.100,280.400,29.000,175.600
475,910.000,187.800,20.800,137.700
476,481.700,176.100,147.800,342.500
477,1438.200,345.700,49.800,286.700
478,558.100,167.500,19.900,141.500
479,649.500,148.000,19.500,130.500
480,1120.900,267.100,28.500,217.000
481,859.000,227.400,30.300,247.300
482,1155.500,438.000,31.400,312.100
483,1065.600,278.000,31.900,251.500
484,709.800,257.000,27.400,261.100
485,907.300,205.500,19.800,136.100
486,1259.400,279.300,30.300,226.900
487,1467.600,335.900,30.100,212.400
488,887.900,212.100,20.500,137.600
489,644.500,327.300,31.400,403.700
490,1116.800,410.800,29.300,230.100
491,707.400,214.100,21.700,134.300
492,847.100,268.700,30.400,303.800
493,1004.900,238.800,24.200,223.500
494,830.300,168.900,19.700,147.700
495,669.200,483.900,33.500,244.200
496,1286.900,245.700,68.000,149.000
497,735.100,168.000,103.400,233.600
498,1031.300,172.800,19.000,151.800
499,1040.900,247.900,29.300,210.600
500,851.000,251.500,30.500,220.700
501,1090.200,270.000,28.800,214.100
502,1109.500,459.200,32.300,251.300
503,1263.400,359.000,30.600,215.500
504,1113.900,348.000,31.000,239.300
505,843.400,365.900,20.700,147.800
506,907.700,350.200,32.200,235.800
507,1141.300,486.700,20.700,159.900
508,548.100,448.200,35.400,227.100
509,1549.200,321.000,32.000,242.900
510,1085.500,283.900,22.900,373.000
511,1565.200,314.100,99.800,227.800
512,1650.600,487.400,37.800,255.700
513,1090.800,193.100,23.100,147.200
514,1058.000,184.300,20.700,346.200
515,1242.500,298.600,29.400,197.700
516,1388.700,259.100,150.000,359.000
517,1430.600,371.500,26.200,290.400
518,951.200,252.800,31.500,225.600
519,1096.400,363.200,32.100,244.400
520,951.800,331.800,38.700,261.200
521,1063.300,202.700,22.400,154.200
522,966.100,273.900,29.100,208.200
523,1178.300,310.100,28.100,398.600
524,1521.000,235.700,23.200,223.400
525,976.000,253.700,29.400,214.000
526,1220.300,313.100,29.700,237.400
527,907.000,348.900,20.400,192.400
528,1101.600,227.300,19.700,152.600
529,658.400,208.300,66.700,160.600
530,622.200,165.900,19.700,134.000
531,742.900,266.400,68.700,183.700
532,1199.300,285.700,30.400,224.300
533,1306.800,227.800,65.400,146.300
534,638.800,256.900,36.900,241.500
535,1173.600,281.200,29.800,220.200
536,975.900,285.000,29.600,204.500
537,938.400,236.800,28.000,144.000
538,771.600,235.400,27.800,321.200
539,844.800,455.000,39.600,240.000
540,1255.400,249.100,29.100,148.700
541,1024.400,360.900,26.900,275.200
542,1118.000,269.700,29.100,211.400
543,1012.200,531.600,32.700,241.200
544,1178.800,299.000,59.300,210.500
545,898.900,252.500,33.200,260.100
546,1500.200,354.000,33.400,319.700
547,1299.200,328.200,31.000,224.700
548,1106.200,414.100,31.800,235.100
549,905.100,197.800,196.200,273.100
550,1536.800,429.000,29.500,152.700
551,602.000,163.600,19.600,135.700
552,547.600,148.100,17.700,125.700
553,821.100,294.300,28.000,201.000
554,897.200,227.400,25.900,176.300
555,873.500,323.400,89.500,210.100
556,974.500,445.000,36.300,232.600
557,1031.500,385.400,38.800,239.300
558,1020.700,375.300,31.800,246.700
559,1113.100,286.100,30.300,203.900
560,1537.800,384.600,108.300,171.400
561,842.500,249.700,127.800,169.800
562,710.900,182.300,21.100,192.100
563,694.500,168.800,20.500,127.300
564,724.500,215.300,72.100,159.000
565,1551.500,348.200,32.700,220.800
566,932.100,259.600,151.200,217.500
567,1514.300,349.700,34.700,295.000
568,1083.000,257.400,29.300,214.700
569,1392.700,398.100,33.700,231.100
570,910.100,256.000,28.300,200.500
571,2228.700,454.200,42.600,364.400
572,1193.400,347.000,28.000,189.200
573,1004.700,181.000,179.700,302.800
574,1182.300,378.700,32.100,236.500
575,844.200,504.700,25.700,181.700
576,1848.000,431.200,33.400,246.900
577,2300.000,377.600,43.000,287.500
578,1947.400,444.400,30.000,307.300
579,1387.400,595.500,38.900,262.300
580,782.300,372.100,33.700,218.200
581,1185.500,202.400,20.000,174.400
582,1192.300,189.500,20.300,150.700
583,646.400,383.100,84.300,165.700
584,596.800,170.800,19.500,375.100
585,1587.100,299.800,31.100,211.800
586,910.300,259.600,31.800,211.400
587,981.700,200.100,112.600,357.900
588,1092.100,291.900,30.600,267.900
589,1160.100,363.300,39.700,234.800
590,1604.400,374.600,28.800,180.600
591,928.000,176.700,22.600,659.500
592,1413.100,406.100,24.900,446.700
593,612.000,176.100,84.100,264.400
594,790.100,408.000,82.100,173.600
595,982.400,276.900,25.900,245.700
596,1456.400,206.300,20.900,158.600
597,765.500,214.000,21.800,164.900
598,796.200,169.400,21.000,435.700
599,1008.100,155.700,56.800,138.900
600,931.400,300.900,32.400,216.200
601,1129.300,293.600,145.500,263.200
602,810.700,279.000,29.100,210.700
603,1010.500,194.100,19.700,133.200
604,1080.900,696.900,35.600,267.900
605,1374.700,340.300,90.900,252.500
606,1382.700,350.900,76.400,179.300
607,1223.200,292.300,149.000,314.000
608,1090.000,225.700,21.700,164.000
609,1648.900,328.000,30.300,210.500
610,1211.000,307.100,31.000,211.100
611,950.700,264.300,107.500,205.100
612,467.900,165.300,21.100,144.500
613,1092.300,228.000,21.000,148.500
614,1144.300,302.400,33.500,216.700
615,1030.800,403.900,40.900,267.000
616,1084.700,207.000,93.600,149.000
617,1010.900,272.000,30.200,229.500
618,874.000,216.800,22.200,157.900
619,822.000,178.500,20.600,142.200
620,806.300,184.400,69.800,203.300
621,548.400,169.600,107.000,267.200
622,937.100,273.900,32.700,212.600
623,1084.600,431.700,119.300,240.900
624,1144.100,321.400,33.700,316.000
625,1112.700,391.400,30.400,258.300
626,1470.300,439.700,33.200,238.400
627,1053.000,409.300,32.500,463.800
628,1477.000,409.200,31.800,208.000
629,1077.700,318.300,24.200,174.300
630,549.200,167.400,19.600,222.400
631,1246.800,280.200,29.100,202.600
632,820.800,280.700,28.400,196.900
633,865.500,427.200,29.700,201.000
634,971.300,264.000,30.600,204.600
635,1183.500,318.200,31.300,221.000
636,1566.700,269.700,30.700,215.600
637,1145.200,291.900,30.400,215.300
638,1255.700,424.200,36.800,207.200
