Run,Open (µs),Write (µs),Read (µs),Close (µs)
173,462.000,125.800,228.500,166.300
174,721.200,264.000,79.000,114.700
175,1107.200,152.000,14.300,101.600
176,498.100,134.300,13.700,112.900
177,769.300,117.700,14.000,91.700
178,352.700,115.400,12.800,95.000
179,1300.300,130.900,12.600,94.800
180,940.700,124.600,12.800,94.600
181,845.600,187.300,60.300,106.700
182,1288.600,350.200,35.900,219.400
183,548.500,142.400,15.400,102.200
184,573.100,136.300,15.000,104.000
185,1117.400,131.900,13.900,95.700
186,411.000,187.500,140.600,377.900
187,476.000,120.400,13.900,95.700
188,518.700,133.000,14.000,101.100
189,398.200,114.400,12.900,90.100
190,714.300,131.200,91.000,97.600
191,542.300,138.300,179.800,228.100
192,786.200,121.200,14.800,109.400
193,451.600,156.300,14.400,106.600
194,764.700,135.200,14.400,95.400
195,468.700,122.700,13.800,91.900
196,721.800,149.200,80.300,120.600
197,1041.400,122.700,13.800,90.100
198,601.300,116.900,13.000,92.400
199,567.600,154.900,68.400,100.100
200,893.500,124.200,14.000,129.000
201,510.500,128.000,14.600,99.700
202,828.300,305.300,54.300,159.100
203,551.900,154.500,172.900,109.100
204,635.500,125.400,24.200,96.200
205,349.100,113.100,13.200,294.900
206,636.500,207.000,15.300,105.700
207,997.600,165.100,15.600,115.000
208,967.800,417.700,29.800,229.500
209,1205.700,299.400,54.300,159.000
210,606.300,135.200,14.100,126.300
211,1367.600,141.900,13.200,104.200
212,988.500,127.000,12.900,194.600
213,747.300,120.700,14.200,97.900
214,517.600,120.800,12.900,129.000
215,766.100,283.500,28.800,243.200
216,424.700,124.400,14.400,98.400
217,852.500,140.600,15.300,75.600
218,946.700,130.900,14.300,123.100
219,740.400,126.100,15.800,436.900
220,526.800,233.000,72.500,110.500
221,1140.800,191.700,13.800,100.700
222,901.500,140.700,14.900,102.600
223,1126.400,150.900,15.000,164.600
224,491.700,119.800,13.100,78.100
225,504.700,161.100,14.900,106.000
226,990.800,378.800,78.600,309.200
227,526.900,157.600,14.400,103.200
228,1220.300,169.100,15.500,110.000
229,1024.500,152.300,14.900,108.200
230,571.100,119.000,13.200,100.600
231,428.800,115.000,12.000,86.600
232,824.100,129.300,14.000,146.100
233,1155.900,401.100,30.700,225.400
234,506.100,287.500,34.200,131.000
235,518.300,127.100,120.800,212.400
236,644.800,338.800,128.200,235.600
237,951.800,157.900,15.900,113.900
238,436.700,166.800,14.200,103.300
239,374.500,98.800,12.400,94.900
240,867.800,144.900,14.400,84.100
241,667.600,128.300,14.500,449.600
242,487.200,132.100,14.200,225.400
243,595.300,197.300,72.700,116.500
244,622.700,140.300,14.200,143.100
245,1147.600,205.500,15.000,106.100
246,995.500,133.600,14.100,106.500
